IBGE;NU_IDENTIFICADOR;q55_3;q55_9;q55_10;q55_11;q55_12;q55_13;q55_14;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d55_2_Faixas_etarias;d55_9;d55_11;d55_9bin1;d55_9bin2;d55_9bin3;d55_10bin1;d55_10bin2;d55_10bin3;d55_10bin4;d55_10bin5;d55_11bin1;d55_11bin2;d55_11bin3;d55_11bin4;d55_9bin1_sum;d55_9bin2_sum;d55_9bin3_sum;d55_10bin1_sum;d55_10bin2_sum;d55_10bin3_sum;d55_10bin4_sum;d55_10bin5_sum;d55_11bin1_sum;d55_11bin2_sum;d55_11bin3_sum;d55_11bin4_sum;nu_trabalhadores
500390;5,0039E+12;Feminino;Superior Completo;Pedagoga(o);Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;18/04/2023;5003900;Mato Grosso do Sul;Região Centro Oeste;Figueirão;4882,873;3539;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;Pedagogo;;;;;;;Comissionado;;;;3;1;1;;;1;1;;1;1;3
500390;5,0039E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 41 a 44 horas semanais;29/08/2022;5003900;Mato Grosso do Sul;Região Centro Oeste;Figueirão;4882,873;3539;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;1;1;;;1;1;;1;1;3
500390;5,0039E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/03/2023;5003900;Mato Grosso do Sul;Região Centro Oeste;Figueirão;4882,873;3539;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;1;1;;;1;1;;1;1;3
521720;5,2172E+12;Feminino;Superior Completo;Psicóloga(o);Comissionada(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;04/01/2021;5217203;Goiás;Região Centro Oeste;Piranhas;2047,765;11712;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;Psicólogo;;;Comissionado;;;1;4;1;1;;1;1;;;2;3;5
521720;5,2172E+12;Feminino;Superior Completo;Advogada(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 11 a 20 horas semanais;04/01/2021;5217203;Goiás;Região Centro Oeste;Piranhas;2047,765;11712;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;;1;4;1;1;;1;1;;;2;3;5
521720;5,2172E+12;Masculino;Médio Completo;Sem formação profissional;Empregada(o) Privada(o) (CLT);Motorista;De 31 a 40 horas semanais;14/02/2019;5217203;Goiás;Região Centro Oeste;Piranhas;2047,765;11712;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;1;4;1;1;;1;1;;;2;3;5
521720;5,2172E+12;Feminino;Superior Completo;Pedagoga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 31 a 40 horas semanais;23/09/2021;5217203;Goiás;Região Centro Oeste;Piranhas;2047,765;11712;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;;1;4;1;1;;1;1;;;2;3;5
521720;5,2172E+12;Feminino;Superior Completo;Assistente Social;Comissionada(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;04/01/2021;5217203;Goiás;Região Centro Oeste;Piranhas;2047,765;11712;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Comissionado;;;Nível Superior;;Assistente Social;;;;;;Comissionado;;;1;4;1;1;;1;1;;;2;3;5
110011;1,10011E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;29/03/2023;1100114;Rondonia;Região Norte;Jaru;2944,128;50591;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;4;;2;;;1;1;;2;1;4
110011;1,10011E+12;Feminino;Superior Completo;Assistente Social;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;29/03/2023;1100114;Rondonia;Região Norte;Jaru;2944,128;50591;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Comissionado;;;Nível Superior;;Assistente Social;;;;;;Comissionado;;;;4;;2;;;1;1;;2;1;4
110011;1,10011E+12;Feminino;Superior Completo;Contador;Comissionada(o);Outros;De 31 a 40 horas semanais;29/03/2023;1100114;Rondonia;Região Norte;Jaru;2944,128;50591;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;;;;Comissionado;;;;4;;2;;;1;1;;2;1;4
110011;1,10011E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;29/03/2023;1100114;Rondonia;Região Norte;Jaru;2944,128;50591;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;4;;2;;;1;1;;2;1;4
110012;1,10012E+12;Masculino;Superior Incompleto;Profissional de nível médio;Comissionada(o);Apoio Administrativo;De 31 a 40 horas semanais;22/08/2023;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;124333;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Comissionado;;Nível Médio;;;;;;;;;Comissionado;;;1;3;1;1;;;1;2;;2;;4
110012;1,10012E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;31/05/2022;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;124333;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;1;3;1;1;;;1;2;;2;;4
110012;1,10012E+12;Feminino;Especialização;Pedagoga(o);Servidor(a) Estatutária(o);Coordenador(a);De 31 a 40 horas semanais;02/10/2023;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;124333;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;;1;3;1;1;;;1;2;;2;;4
110012;1,10012E+12;Masculino;Superior Completo;Psicóloga(o);Comissionada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;01/07/2021;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;124333;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;Psicólogo;;;Comissionado;;;1;3;1;1;;;1;2;;2;;4
110020;1,1002E+12;Feminino;Superior Completo;Sem formação profissional;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;16/09/2019;1100205;Rondonia;Região Norte;Porto Velho;34090,962;460434;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;;;;Comissionado;;;;2;;;;;;1;;1;;2
110020;1,1002E+12;Feminino;Superior Completo;Outra formação de nível superior;Servidor(a) Estatutária(o);Cuidador(a);De 31 a 40 horas semanais;09/07/2012;1100205;Rondonia;Região Norte;Porto Velho;34090,962;460434;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;;;2;;;;;;1;;1;;2
120040;1,2004E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/06/2022;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Feminino;Superior Incompleto;Profissional de nível médio;Terceirizada(o);Serviços Gerais;De 31 a 40 horas semanais;07/10/2021;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Masculino;Médio Completo;Sem formação profissional;Outro vínculo não permanente;Motorista;De 31 a 40 horas semanais;01/12/2020;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Masculino;Especialização;Pedagoga(o);Servidor(a) Estatutária(o);Coordenador(a);De 31 a 40 horas semanais;01/01/2018;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Masculino;Médio Completo;Profissional de nível médio;Terceirizada(o);Outros;Mais de 44 horas semanais;18/05/2023;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Feminino;Superior Completo;Outra formação de nível superior;Servidor(a) Estatutária(o);Educador(a) Social;De 21 a 30 horas semanais;03/11/2016;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Feminino;Especialização;Outra formação de nível superior;Servidor(a) Estatutária(o);Apoio Administrativo;De 21 a 30 horas semanais;15/02/2008;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Masculino;Médio Completo;Profissional de nível médio;Terceirizada(o);Outros;Mais de 44 horas semanais;18/05/2023;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;4;5;1;1;;;1;3;;;6;9
120040;1,2004E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/06/2022;1200401;Acre;Região Norte;Rio Branco;8834,942;364756;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;4;5;1;1;;;1;3;;;6;9
130170;1,3017E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;28/08/2023;1301704;Amazonas;Região Norte;Humaitá;33111,164;57473;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;1;;;;3;3
130170;1,3017E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;08/06/2023;1301704;Amazonas;Região Norte;Humaitá;33111,164;57473;Médio;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;1;;;1;;;;3;3
130170;1,3017E+12;Feminino;Superior Completo;Outra formação de nível superior;Servidor(a) Temporária(o);Coordenador(a);De 21 a 30 horas semanais;19/01/2022;1301704;Amazonas;Região Norte;Humaitá;33111,164;57473;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;;3;;1;;;1;;;;3;3
130260;1,3026E+12;Masculino;Médio Completo;Profissional de nível médio;Outro vínculo não permanente;Outros;De 31 a 40 horas semanais;14/04/2023;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Mestrado;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;14/04/2023;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Especialização;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/08/2021;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Superior Completo;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 31 a 40 horas semanais;01/06/2022;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Especialização;Psicóloga(o);Empregada(o) Privada(o) (CLT);Coordenador(a);Mais de 44 horas semanais;01/07/2022;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Superior Completo;Outra formação de nível superior;Empregada(o) Privada(o) (CLT);Outros;De 31 a 40 horas semanais;14/04/2023;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Superior Incompleto;Profissional de nível médio;Empregada(o) Privada(o) (CLT);Outros;De 41 a 44 horas semanais;01/07/2022;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Superior Completo;Pedagoga(o);Outro vínculo não permanente;Coordenador(a);De 31 a 40 horas semanais;01/06/2022;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130260;1,3026E+12;Feminino;Especialização;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 31 a 40 horas semanais;14/04/2023;1302603;Amazonas;Região Norte;Manaus;11401,092;2063689;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;2;7;1;2;;;3;;;;9;9
130330;1,3033E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Coordenador(a);De 31 a 40 horas semanais;04/06/2021;1303304;Amazonas;Região Norte;Novo Aripuanã;41179,656;23818;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;2;;1;;;1;;;;2;2
130330;1,3033E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;25/08/2023;1303304;Amazonas;Região Norte;Novo Aripuanã;41179,656;23818;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;2;;1;;;1;;;;2;2
130340;1,3034E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Coordenador(a);De 31 a 40 horas semanais;02/01/2023;1303403;Amazonas;Região Norte;Parintins;5956,373;96372;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;2;;2;;;;;;;2;2
130340;1,3034E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;03/01/2023;1303403;Amazonas;Região Norte;Parintins;5956,373;96372;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;2;;2;;;;;;;2;2
130356;1,30356E+12;Feminino;Sem Escolaridade;Sem formação profissional;Outro vínculo não permanente;Cuidador(a);Mais de 44 horas semanais;01/10/2023;1303569;Amazonas;Região Norte;Rio Preto da Eva;5815,622;24936;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;;;;;;;;;;;2;2
130356;1,30356E+12;Feminino;Sem Escolaridade;Sem formação profissional;Outro vínculo não permanente;Cuidador(a);Mais de 44 horas semanais;01/10/2023;1303569;Amazonas;Região Norte;Rio Preto da Eva;5815,622;24936;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;;;;;;;;;;;2;2
130410;1,3041E+12;Masculino;Médio Completo;Sem formação profissional;Comissionada(o);Motorista;De 31 a 40 horas semanais;04/04/2021;1304104;Amazonas;Região Norte;Tapauá;84946,166;19599;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Comissionado;;Nível Médio;;;;;;;;;Comissionado;;;2;2;;1;;;1;;;4;;4
130410;1,3041E+12;Feminino;Médio Completo;Profissional de nível médio;Comissionada(o);Apoio Administrativo;De 31 a 40 horas semanais;04/04/2021;1304104;Amazonas;Região Norte;Tapauá;84946,166;19599;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Comissionado;;Nível Médio;;;;;;;;;Comissionado;;;2;2;;1;;;1;;;4;;4
130410;1,3041E+12;Feminino;Superior Completo;Assistente Social;Comissionada(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;04/04/2021;1304104;Amazonas;Região Norte;Tapauá;84946,166;19599;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;Assistente Social;;;;;;Comissionado;;;2;2;;1;;;1;;;4;;4
130410;1,3041E+12;Feminino;Superior Completo;Psicóloga(o);Comissionada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;04/04/2021;1304104;Amazonas;Região Norte;Tapauá;84946,166;19599;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;Psicólogo;;;Comissionado;;;2;2;;1;;;1;;;4;;4
150070;1,5007E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;06/07/2022;1500701;Pará;Região Norte;Anajás;6913,068;28011;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;1;3;;2;;;1;;;;4;4
150070;1,5007E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;06/07/2022;1500701;Pará;Região Norte;Anajás;6913,068;28011;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;1;3;;2;;;1;;;;4;4
150070;1,5007E+12;Feminino;Médio Completo;Profissional de nível médio;Servidor(a) Temporária(o);Apoio Administrativo;De 21 a 30 horas semanais;06/07/2022;1500701;Pará;Região Norte;Anajás;6913,068;28011;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;1;3;;2;;;1;;;;4;4
