IBGE,NU_IDENTIFICADOR,rf_sexo,rf_escolaridade,rf_profissao,rf_vinculo,Nome_UF,Código Município Completo,Nome_Município
530010,"5,3001E+12",Feminino,Superior Completo,Médica(o),Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Sem formação profissional,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Sem formação profissional,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Masculino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Masculino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Psicóloga(o),Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Profissional de nível médio,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Masculino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Profissional de nível médio,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Psicóloga(o),Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
110012,"1,10012E+12",Feminino,Superior Completo,Pedagoga(o),Voluntária(o),Rondônia,110012,Ji-Paraná
110012,"1,10012E+12",Feminino,Fundamental Completo,Sem formação profissional,Voluntária(o),Rondônia,110012,Ji-Paraná
110012,"1,10012E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Rondônia,110012,Ji-Paraná
110012,"1,10012E+12",Feminino,Superior Completo,Médica(o),Voluntária(o),Rondônia,110012,Ji-Paraná
110012,"1,10012E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Rondônia,110012,Ji-Paraná
110020,"1,1002E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Masculino,Superior Completo,Outra formação de nível superior,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Superior Completo,Pedagoga(o),Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Masculino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Rondônia,110020,Porto Velho
110020,"1,1002E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Rondônia,110020,Porto Velho
120040,"1,2004E+12",Feminino,Superior Completo,Profissional de nível médio,Sem Vínculo,Acre,120040,Rio Branco
120040,"1,2004E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Acre,120040,Rio Branco
120040,"1,2004E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Acre,120040,Rio Branco
120040,"1,2004E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Acre,120040,Rio Branco
130170,"1,3017E+12",Feminino,Superior Completo,Advogada(o),Comissionada(o),Amazonas,130170,Humaitá
130260,"1,3026E+12",Masculino,Especialização,Pedagoga(o),Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Enfermeira(o),Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Advogada(o),Sem Vínculo,Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Enfermeira(o),Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Mestrado,Assistente Social,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Incompleto,Sem formação profissional,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Masculino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Especialização,Assistente Social,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Amazonas,130260,Manaus
130260,"1,3026E+12",Feminino,Superior Completo,Enfermeira(o),Voluntária(o),Amazonas,130260,Manaus
130330,"1,3033E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Amazonas,130330,Novo Aripuanã
130330,"1,3033E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Amazonas,130330,Novo Aripuanã
130330,"1,3033E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Amazonas,130330,Novo Aripuanã
130330,"1,3033E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Amazonas,130330,Novo Aripuanã
130340,"1,3034E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Amazonas,130340,Parintins
130340,"1,3034E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Amazonas,130340,Parintins
130410,"1,3041E+12",Masculino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Amazonas,130410,Tapauá
150070,"1,5007E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Servidor(a) Temporário(a),Pará,150070,Anajás
150070,"1,5007E+12",Masculino,Superior Completo,Outra formação de nível superior,Servidor(a) Temporário(a),Pará,150070,Anajás
150070,"1,5007E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Pará,150070,Anajás
150157,"1,50157E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Pará,150157,Bom Jesus do Tocantins
150157,"1,50157E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Pará,150157,Bom Jesus do Tocantins
150157,"1,50157E+12",Feminino,Fundamental Completo,Sem formação profissional,Outro vínculo não permanente,Pará,150157,Bom Jesus do Tocantins
150157,"1,50157E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Outro vínculo não permanente,Pará,150157,Bom Jesus do Tocantins
150157,"1,50157E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Pará,150157,Bom Jesus do Tocantins
150230,"1,5023E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Pará,150230,Capitão Poço
150230,"1,5023E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Outro vínculo não permanente,Pará,150230,Capitão Poço
150275,"1,50275E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Pará,150275,Concórdia do Pará
150275,"1,50275E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Pará,150275,Concórdia do Pará
150275,"1,50275E+12",Feminino,Médio Completo,Profissional de nível médio,Servidor(a) Temporário(a),Pará,150275,Concórdia do Pará
150420,"1,5042E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Superior Incompleto,Assistente Social,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Masculino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Masculino,Superior Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Fundamental Completo,Sem formação profissional,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Superior Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150420,Marabá
150420,"1,5042E+12",Feminino,Médio Incompleto,Sem formação profissional,Voluntária(o),Pará,150420,Marabá
150510,"1,5051E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Médio Completo,Outra formação de nível superior,Voluntária(o),Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Superior Completo,Assistente Social,Voluntária(o),Pará,150510,Óbidos
150510,"1,5051E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Pará,150510,Óbidos
150680,"1,5068E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Pará,150680,Santarém
150680,"1,5068E+12",Feminino,Superior Incompleto,Sem formação profissional,Voluntária(o),Pará,150680,Santarém
150680,"1,5068E+12",Masculino,Superior Incompleto,Musicoterapeuta,Voluntária(o),Pará,150680,Santarém
150715,"1,50715E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Sem Vínculo,Pará,150715,São Domingos do Araguaia
150715,"1,50715E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Pará,150715,São Domingos do Araguaia
150797,"1,50797E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Pará,150797,Terra Santa
160060,"1,6006E+12",Feminino,Superior Completo,Profissional de nível médio,Sem Vínculo,Amapá,160060,Santana
170550,"1,7055E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Tocantins,170550,Colinas do Tocantins
170550,"1,7055E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Tocantins,170550,Colinas do Tocantins
171488,"1,71488E+12",Feminino,Superior Incompleto,Sem formação profissional,Sem Vínculo,Tocantins,171488,Nova Olinda
171488,"1,71488E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Sem Vínculo,Tocantins,171488,Nova Olinda
171488,"1,71488E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Tocantins,171488,Nova Olinda
171488,"1,71488E+12",Feminino,Especialização,Pedagoga(o),Sem Vínculo,Tocantins,171488,Nova Olinda
171488,"1,71488E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Tocantins,171488,Nova Olinda
171488,"1,71488E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Tocantins,171488,Nova Olinda
172120,"1,7212E+12",Feminino,Superior Incompleto,Profissional de nível médio,Servidor(a) Estatutário(a),Tocantins,172120,Tocantinópolis
210047,"2,10047E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Maranhão,210047,Alto Alegre do Pindaré
210047,"2,10047E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Maranhão,210047,Alto Alegre do Pindaré
210047,"2,10047E+12",Feminino,Médio Incompleto,Sem formação profissional,Sem Vínculo,Maranhão,210047,Alto Alegre do Pindaré
210095,"2,10095E+12",Feminino,Superior Completo,Pedagoga(o),Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Feminino,Médio Incompleto,Sem formação profissional,Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Feminino,Médio Incompleto,Sem formação profissional,Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Masculino,Médio Incompleto,Sem formação profissional,Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Feminino,Médio Completo,Profissional de nível médio,Voluntária(o),Maranhão,210095,Arame
210095,"2,10095E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Maranhão,210095,Arame
210177,"2,10177E+12",Feminino,Superior Completo,Pedagoga(o),Voluntária(o),Maranhão,210177,Bela Vista do Maranhão
210800,"2,108E+12",Feminino,Médio Incompleto,Sem formação profissional,Voluntária(o),Maranhão,210800,Pastos Bons
210990,"2,1099E+12",Feminino,Médio Completo,Profissional de nível médio,Outro vínculo não permanente,Maranhão,210990,Santa Inês
210990,"2,1099E+12",Feminino,Médio Completo,Sem formação profissional,Outro vínculo não permanente,Maranhão,210990,Santa Inês
210990,"2,1099E+12",Feminino,Médio Completo,Sem formação profissional,Outro vínculo não permanente,Maranhão,210990,Santa Inês
211130,"2,1113E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Maranhão,211130,São Luís
211130,"2,1113E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Maranhão,211130,São Luís
211130,"2,1113E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Maranhão,211130,São Luís
211130,"2,1113E+12",Feminino,Fundamental Incompleto,Outra formação de nível superior,Sem Vínculo,Maranhão,211130,São Luís
211130,"2,1113E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Maranhão,211130,São Luís
211220,"2,1122E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Maranhão,211220,Timon
211220,"2,1122E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Sem Vínculo,Maranhão,211220,Timon
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Masculino,Superior Completo,Administrador(a),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Psicóloga(o),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Masculino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Masculino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Especialização,Pedagoga(o),Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Piauí,221100,Teresina
221100,"2,211E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Piauí,221100,Teresina
230370,"2,3037E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230370,Caucaia
230370,"2,3037E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230370,Caucaia
230370,"2,3037E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230370,Caucaia
230370,"2,3037E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Ceará,230370,Caucaia
230370,"2,3037E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230370,Caucaia
230370,"2,3037E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Ceará,230370,Caucaia
230428,"2,30428E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Ceará,230428,Eusébio
230428,"2,30428E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Ceará,230428,Eusébio
230428,"2,30428E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230428,Eusébio
230428,"2,30428E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230428,Eusébio
230428,"2,30428E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Ceará,230428,Eusébio
230428,"2,30428E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Ceará,230428,Eusébio
230428,"2,30428E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Ceará,230428,Eusébio
230440,"2,3044E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Incompleto,Sem formação profissional,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Completo,Assistente Social,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Especialização,Enfermeira(o),Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Médio Incompleto,Sem formação profissional,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Masculino,Médio Incompleto,Sem formação profissional,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Completo,Economista Doméstica(o),Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230440,Fortaleza
230440,"2,3044E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Ceará,230440,Fortaleza
230523,"2,30523E+12",Feminino,Superior Incompleto,Profissional de nível médio,Sem Vínculo,Ceará,230523,Horizonte
230523,"2,30523E+12",Feminino,Fundamental Completo,Sem formação profissional,Sem Vínculo,Ceará,230523,Horizonte
230725,"2,30725E+12",Masculino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Ceará,230725,Jijoca de Jericoacoara
230725,"2,30725E+12",Masculino,Especialização,Psicóloga(o),Sem Vínculo,Ceará,230725,Jijoca de Jericoacoara
230725,"2,30725E+12",Feminino,Superior Incompleto,Outra formação de nível superior,Voluntária(o),Ceará,230725,Jijoca de Jericoacoara
230725,"2,30725E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Ceará,230725,Jijoca de Jericoacoara
230725,"2,30725E+12",Feminino,Superior Completo,Pedagoga(o),Sem Vínculo,Ceará,230725,Jijoca de Jericoacoara
240260,"2,4026E+12",Feminino,Médio Completo,Sem formação profissional,Voluntária(o),Rio Grande do Norte,240260,Ceará-Mirim
240260,"2,4026E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Rio Grande do Norte,240260,Ceará-Mirim
240260,"2,4026E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Rio Grande do Norte,240260,Ceará-Mirim
240310,"2,4031E+12",Feminino,Médio Completo,Sem formação profissional,Outro vínculo não permanente,Rio Grande do Norte,240310,Currais Novos
240310,"2,4031E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Rio Grande do Norte,240310,Currais Novos
