IBGE;NU_IDENTIFICADOR;q48_3;q48_9;q48_10;q48_11;q48_12;q48_13;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d48_2_Faixas_etarias;d48_9;d48_11;d48_9bin1;d48_9bin2;d48_9bin3;d48_10bin1;d48_10bin2;d48_10bin3;d48_10bin4;d48_10bin5;d48_11bin1;d48_11bin2;d48_11bin3;d48_11bin4;d48_9bin1_sum;d48_9bin2_sum;d48_9bin3_sum;d48_10bin1_sum;d48_10bin2_sum;d48_10bin3_sum;d48_10bin4_sum;d48_10bin5_sum;d48_11bin1_sum;d48_11bin2_sum;d48_11bin3_sum;d48_11bin4_sum;nu_familias_acolhedoras
410480;4,1048E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;07/07/2016;4104808;Paraná;Região Sul;Cascavel;2100,831;PR;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;46;30;;;;;;;;;;76;76
410480;4,1048E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;30/09/2022;4104808;Paraná;Região Sul;Cascavel;2100,831;PR;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;46;30;;;;;;;;;;76;76
410480;4,1048E+12;Feminino;Sem Escolaridade;Sem formação profissional;Sem Vínculo;Família Acolhedora;22/10/2021;4104808;Paraná;Região Sul;Cascavel;2100,831;PR;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;42;14;3;;;;;;;;;59;59
410840;4,1084E+12;Feminino;Superior Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;29/06/2021;4108403;Paraná;Região Sul;Francisco Beltrão;735,111;PR;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;11;10;20;2;1;;;;;;;41;41
410940;4,1094E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;24/05/2022;4109401;Paraná;Região Sul;Guarapuava;3178,649;PR;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;14;7;2;;;;1;;;;;23;23
412350;4,1235E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Voluntária(o);Família Acolhedora;19/02/2021;4123501;Paraná;Região Sul;Santa Helena;758,227;PR;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;8;4;3;1;;;;;;;;15;15
421970;4,2197E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;05/03/2018;4219705;Santa Catarina;Região Sul;Xaxim;293,279;SC;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;5;5;1;;;;;;;;;11;11
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;29/10/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;19/06/2019;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Masculino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Psicóloga(o);Voluntária(o);Família Acolhedora;18/10/2021;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Médica(o);Voluntária(o);Família Acolhedora;03/07/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;07/07/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;29/06/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;26/11/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Masculino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;01/12/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Masculino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;06/11/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;21/05/2019;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Médio Completo;Profissional de nível médio;Voluntária(o);Família Acolhedora;01/01/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Psicóloga(o);Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;01/01/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;12/06/2019;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Masculino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;21/05/2019;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;03/12/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Psicóloga(o);Voluntária(o);Família Acolhedora;21/01/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;01/12/2023;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
530010;5,3001E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;28/10/2021;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;7;10;69;1;;;1;3;;;;86;86
110012;1,10012E+12;Feminino;Superior Completo;Pedagoga(o);Voluntária(o);Família Acolhedora;30/11/2022;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;2;2;1;;;;;;;;5;5
110012;1,10012E+12;Feminino;Fundamental Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;13/12/2022;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;2;2;1;;;;;;;;5;5
110012;1,10012E+12;Feminino;Médio Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;18/07/2023;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;2;2;1;;;;;;;;5;5
110012;1,10012E+12;Feminino;Superior Completo;Médica(o);Voluntária(o);Família Acolhedora;16/06/2023;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1;2;2;1;;;;;;;;5;5
110012;1,10012E+12;Feminino;Médio Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;30/11/2022;1100122;Rondonia;Região Norte;Ji-Paraná;6896,649;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;2;2;1;;;;;;;;5;5
110020;1,1002E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;13/07/2021;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;12/07/2022;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Masculino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;20/09/2023;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Voluntária(o);Família Acolhedora;13/09/2022;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Superior Completo;Pedagoga(o);Voluntária(o);Família Acolhedora;05/08/2021;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;11/08/2022;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;05/08/2021;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;11/07/2022;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Masculino;Fundamental Incompleto;Sem formação profissional;Voluntária(o);Família Acolhedora;20/09/2018;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
110020;1,1002E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;20/09/2018;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;2;1;7;1;;;;;;;;10;10
120040;1,2004E+12;Feminino;Superior Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;22/06/2023;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1;1;2;1;;;;;;;;4;4
120040;1,2004E+12;Feminino;Superior Incompleto;Profissional de nível médio;Sem Vínculo;Família Acolhedora;28/08/2023;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;1;2;1;;;;;;;;4;4
120040;1,2004E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;02/08/2023;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;1;2;1;;;;;;;;4;4
120040;1,2004E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;17/04/2023;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;1;2;1;;;;;;;;4;4
130170;1,3017E+12;Feminino;Superior Completo;Advogada(o);Comissionada(o);Família Acolhedora;04/01/2021;1301704;Amazonas;Região Norte;Humaitá;33111,164;AM;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Comissionado;;;Nível Superior;;;;Advogado;;;;Comissionado;;;;1;;;;1;;;;1;;1
130260;1,3026E+12;Masculino;Especialização;Pedagoga(o);Voluntária(o);Família Acolhedora;01/08/2020;1302603;Amazonas;Região Norte;Manaus;11401,092;AM;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;;8;7;2;;;1;;;;;15;15
130260;1,3026E+12;Feminino;Superior Completo;Enfermeira(o);Sem Vínculo;Família Acolhedora;12/08/2022;1302603;Amazonas;Região Norte;Manaus;11401,092;AM;Metrópole;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;8;7;2;;;1;;;;;15;15
130260;1,3026E+12;Feminino;Médio Completo;Profissional de nível médio;Voluntária(o);Família Acolhedora;26/10/2023;1302603;Amazonas;Região Norte;Manaus;11401,092;AM;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;;8;7;2;;;1;;;;;15;15
130260;1,3026E+12;Feminino;Médio Completo;Profissional de nível médio;Voluntária(o);Família Acolhedora;20/11/2022;1302603;Amazonas;Região Norte;Manaus;11401,092;AM;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;;8;7;2;;;1;;;;;15;15
130260;1,3026E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;09/11/2020;1302603;Amazonas;Região Norte;Manaus;11401,092;AM;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;;8;7;2;;;1;;;;;15;15
